,dynamics,delta,loss,loss_err
0,Diffusion,0.0,0.009828074835240841,0.008919491432607174
1,Diffusion,0.20000000298023224,0.024669354781508446,0.020521383732557297
2,Diffusion,0.4000000059604645,0.06657208502292633,0.04815775156021118
3,Diffusion,0.6000000238418579,0.13489267230033875,0.09116403013467789
4,Diffusion,0.800000011920929,0.22532016038894653,0.1502033919095993
5,Diffusion,1.0,0.3307679295539856,0.22458647191524506
6,Diffusion,1.2000000476837158,0.4464757740497589,0.30980184674263
7,Diffusion,1.399999976158142,0.5649763941764832,0.4011685252189636
8,Diffusion,1.600000023841858,0.6754375696182251,0.487804651260376
9,Diffusion,1.7999999523162842,0.7778501510620117,0.5692339539527893
10,Diffusion,2.0,0.8631371855735779,0.638688325881958
11,PD,0.0,0.02124571055173874,0.016644369810819626
12,PD,0.20000000298023224,0.09627853333950043,0.13361918926239014
13,PD,0.4000000059604645,0.3955255150794983,0.48557811975479126
14,PD,0.6000000238418579,1.0006704330444336,1.0812561511993408
15,PD,0.800000011920929,1.9687166213989258,1.928840160369873
16,PD,1.0,3.334181308746338,3.0367047786712646
17,PD,1.2000000476837158,5.18834924697876,4.4004316329956055
18,PD,1.399999976158142,7.775974273681641,5.925623893737793
19,PD,1.600000023841858,11.28720760345459,7.476558208465576
20,PD,1.7999999523162842,15.7847261428833,9.129807472229004
21,PD,2.0,21.341808319091797,10.846096992492676
22,MAK,0.0,0.010848105885088444,0.011118858121335506
23,MAK,0.20000000298023224,0.07806894183158875,0.0952223464846611
24,MAK,0.4000000059604645,0.36067280173301697,0.32948237657546997
25,MAK,0.6000000238418579,1.0524039268493652,0.773249089717865
26,MAK,0.800000011920929,2.3706109523773193,1.453270435333252
27,MAK,1.0,4.5337395668029785,2.4026904106140137
28,MAK,1.2000000476837158,7.666551113128662,3.597688674926758
29,MAK,1.399999976158142,11.903799057006836,5.059378147125244
30,MAK,1.600000023841858,17.32952880859375,6.7733893394470215
31,MAK,1.7999999523162842,23.70861053466797,8.701574325561523
32,MAK,2.0,31.370065689086914,10.953314781188965
33,MM,0.0,0.024971021339297295,0.01894724741578102
34,MM,0.20000000298023224,0.040528133511543274,0.04309305548667908
35,MM,0.4000000059604645,0.09086795151233673,0.12320015579462051
36,MM,0.6000000238418579,0.2151319980621338,0.2612101435661316
37,MM,0.800000011920929,0.4530416429042816,0.4358811378479004
38,MM,1.0,0.831300675868988,0.5971188545227051
39,MM,1.2000000476837158,1.3104082345962524,0.7212555408477783
40,MM,1.399999976158142,1.844404697418213,0.8069021701812744
41,MM,1.600000023841858,2.3897600173950195,0.8610357046127319
42,MM,1.7999999523162842,2.9498977661132812,0.9043214321136475
43,MM,2.0,3.5022776126861572,0.9362956881523132
44,SIS,0.0,0.005071714054793119,0.004979148041456938
45,SIS,0.20000000298023224,0.03101264126598835,0.04545733705163002
46,SIS,0.4000000059604645,0.13067369163036346,0.17783400416374207
47,SIS,0.6000000238418579,0.37236133217811584,0.4333261251449585
48,SIS,0.800000011920929,0.842717170715332,0.8156754374504089
49,SIS,1.0,1.656084418296814,1.2773792743682861
50,SIS,1.2000000476837158,2.932924270629883,1.7439206838607788
51,SIS,1.399999976158142,4.672765731811523,2.2560718059539795
52,SIS,1.600000023841858,6.908675193786621,2.819725751876831
53,SIS,1.7999999523162842,9.628655433654785,3.4864084720611572
54,SIS,2.0,12.855319023132324,4.241974353790283
